'	lex112884.1_ἒ
'ἐπιμύει	
(132)	
(Hrd	
(Men	
(St	
(abbrev	
(abbreviation)	
(cf	
(fr	(p	
(sc	
(symbol)	
(Β	
(Γ	
(Ι	
(Ξ	
(πό)λις	
(τ	
(χ	392)	
κακὸν	lex30456.1_κακός
κακὸς	lex30456.1_κακός
κακόν	lex30456.1_κακός
κακόφωνον	lex30482.1_κακόφωνος
κακὼ	lex30456.1_κακόςκακῆ	
κακῶ	lex30110.1_κακάζω lex30485.1_κακόω lex30456.1_κακός
κακῶν	lex30110.1_κακάζω lex30456.1_κακός lex30485.1_κακόω lex29217.1_κάκη
κακῶς	lex30456.1_κακός lex30485.1_κακόω
κακῶσ	lex30456.1_κακός lex30485.1_κακόω
κακῷ	lex30110.1_κακάζω lex30456.1_κακός
καλ	
καλά	lex30879.1_καλός
καλάθας	
καλάμινα	lex30497.1_καλάμινοςκαλέουσι	lex30505.1_καλέω
καλέσαντας	lex30505.1_καλέω
καλέσαντες	lex30505.1_καλέω
καλέσειε	lex30505.1_καλέω
καλή	lex29277.1_κάλως
καλαμῶνα⁚	
καλαῖς	lex30879.1_καλός
καλειται	
καλεουσιν	
καλεὶ	καλεὶται	
καλεῖ	lex30505.1_καλέω
καλεῖν	lex30505.1_καλέω
καλεῖσθαι	lex30505.1_καλέω
καλεῖται	lex30505.1_καλέω
καλεῖται+	lex30505.1_καλέω
καλεῦντο	lex30505.1_καλέω
καλεῦτο	
καλιάς	lex30611.1_καλιά lex30613.1_καλιάς
καλλίροον	lex30670.1_καλλίρους lex30669.1_καλλίροοςκαλλίστεια	
καλλίστοις	lex30879.1_καλός
καλλίστρατος	
καλλείψειν	lex32418.1_καταλιμπάνω
καλλεῖ	
καλλιγυναικα	
καλλιεργίαν	lex30726.1_καλλιεργία
καλλικολώνη	lex30734.1_καλλικολώνη
καλλιπάρηον	lex30749.1_καλλιπάρηος
καλλιπαρήω	lex30749.1_καλλιπάρηοςκαλλιπλοκάμῳ	lex30754.1_καλλιπλόκαμος
καλλιστον	
καλλιστου	
καλλονῆς	lex30785.1_καλλονή
καλλος	
καλλωπίζεσθαι	lex30790.1_καλλωπίζω
καλλωπισμῶν	lex30792.1_καλλωπισμός
καλλὸς	
καλον	
καλουμ	καλουμένη	lex30505.1_καλέω
καλουμένην	lex30505.1_καλέω
καλουμένης	lex30505.1_καλέω
καλουμένου	lex30505.1_καλέω
καλουμένους	lex30505.1_καλέω
καλουμένων	lex30505.1_καλέω
καλουμένῳ	lex30505.1_καλέω
καλουμενον	
καλουμένη	lex30505.1_καλέω
καλουμένην	lex30505.1_καλέωκαλουμένῃ	lex30505.1_καλέω
καλουντ	
καλούμεθα	lex30505.1_καλέω
καλούμεναι	lex30505.1_καλέω
καλούμενοι	lex30505.1_καλέω
καλούμενον	lex30505.1_καλέω
καλούμενος	lex30505.1_καλέω
καλοὺς	lex30879.1_καλός
καλούμ	
καλούμεναι	lex30505.1_καλέωκαλούμενοι	lex30505.1_καλέω
καλούμενον	lex30505.1_καλέω
καλούμενος	lex30505.1_καλέω
καλοῖο	lex30505.1_καλέω lex30879.1_καλός
καλοῦ	lex30879.1_καλός lex30505.1_καλέω
καλοῦμεν	lex30505.1_καλέω
καλοῦνται	lex30505.1_καλέω
καλοῦντας	lex30505.1_καλέω
καλοῦσι	lex30505.1_καλέω
καλοῦσιν	lex30505.1_καλέωκαλυπτόμενον	lex30896.1_καλύπτω
καλυψάμενος	lex30896.1_καλύπτω
καλύπτειν	lex30896.1_καλύπτω
καλύπτοντος	lex30896.1_καλύπτω
καλύπτων	lex30896.1_καλύπτω
καλύψας	lex30896.1_καλύπτω
καλὰ	lex30879.1_καλός
καλὰς	lex29277.1_κάλως
καλά	lex30879.1_καλός
καλὲ	lex30879.1_καλόςΖηνοδότῳ	lex2430.1_Ζηνόδοτος
Ζηνοδότειος	lex2424.1_Ζηνοδότειος
Ζηνοδότεϊον	lex2424.1_Ζηνοδότειος
Ζηνοδότος	
Ζηνοδότου	lex2430.1_Ζηνόδοτος
Ζηνοδότῳ	lex2430.1_Ζηνόδοτος
Ζηνοτ	
Ζηνόδ	
Ζηνόδoτος	lex2430.1_Ζηνόδοτος
Ζηνόδοτ	καλέσας	lex30505.1_καλέω
καλὴ	lex29277.1_κάλως
καλὴν	lex30879.1_καλός
καλήν	lex30879.1_καλός
καλὸν	lex30879.1_καλός
καλὸς	lex30879.1_καλός
καλύπτουσαι	lex30896.1_καλύπτω
καλῆς	lex30879.1_καλός lex30505.1_καλέω
καλῇ	lex30505.1_καλέω lex30879.1_καλός
καλῶν	lex29591.1_κήλη lex30505.1_καλέω lex30879.1_καλός lex29239.1_κάληκαλῶς	lex30879.1_καλός
καλῷ	lex30879.1_καλός
καμ	
καμάτου	lex29280.1_κάματος
καμέτην	lex29294.1_κάμνω
καμίνῳ	lex29285.1_κάμινος
καμμύσουσι	
καμνον	
καμοὶ	
καμοῦσα	lex29294.1_κάμνωκαμπτόμενον	lex29302.1_κάμπτω
καμφθήτω	lex29302.1_κάμπτω
καμφθεῖς	
καμάτῳ	lex29280.1_κάματος
καν	
κανάχιζε	lex31027.1_καναχίζω
καναχὴν	lex31024.1_καναχή lex31032.1_καναχός
κανθοί	lex31059.1_κανθός
κανθάδε	
κανονίζεται	lex31070.1_κανονίζωκανταῦθα	
κανόνα	lex31083.1_κανών
κανόνες	lex31083.1_κανών
κανόνι	lex31083.1_κανών
κανόνος	lex31083.1_κανών
κανών	lex29716.1_καίνω lex31083.1_κανών
κανὰ	
κανόνες	lex31083.1_κανών
κανὼν	lex31083.1_κανών lex29716.1_καίνω
κανῶν	lex29716.1_καίνω lex29319.1_κάνεονκαπ	
καπεκομίζετο	
καπνοδόκη	lex31123.1_καπνοδόκη
καπνοῦ	lex31134.1_καπνός lex31133.1_καπνόομαι
καπνὸν	lex31134.1_καπνός
καπνὸς	lex31134.1_καπνός
καπνῶν	lex31134.1_καπνός lex29338.1_κάπνη
καποτῆς	
καραποθέντες	
καρατομήσας	lex31183.1_καρατομέωκαρδία	lex31198.1_καρδιάω lex31192.1_καρδία
καρδίαν	lex31192.1_καρδία lex31198.1_καρδιάω
καρδίη	lex31192.1_καρδία lex31198.1_καρδιάω
καρδίᾳ	lex31192.1_καρδία
καρηκομόωντες	lex31234.1_καρηκομόω lex31235.1_καρηκομόωντες
καρηνα	
καρικες	
καρκῖνον	
καρπαλίμως	lex31269.1_καρπάλιμος
καρπαλίμως	lex31269.1_καρπάλιμοςκαρποὺς	lex31326.1_καρπός2 lex31325.1_καρπός1
καρποῦσθαι	lex31331.1_καρπόω
καρπόν⁚	
καρπὸν	lex31325.1_καρπός1 lex31326.1_καρπός2
καρπὸς	lex31326.1_καρπός2 lex31325.1_καρπός1
καρπῶν	lex31325.1_καρπός1 lex31331.1_καρπόω lex31326.1_καρπός2 lex31273.1_καρπέω
καρπῷ	lex31326.1_καρπός2 lex31325.1_καρπός1
καρτερικός	lex31355.1_καρτερικός
καρτερικὸν	lex31355.1_καρτερικός
καρτερικὼ	lex31355.1_καρτερικόςκαρτεροθυμων	
καρτεροῖς	lex31367.1_καρτερόω lex31364.1_καρτερός lex31351.1_καρτερέω
καρτερός	lex31364.1_καρτερός
καρτερώθυμε	
καρτερώτατον	lex31364.1_καρτερός
καρτερῶς	lex31367.1_καρτερόω lex31364.1_καρτερός
καρὸν	
καρὸς	lex29356.1_κάρ
κασίγνηται	lex31448.1_κασιγνήτη
κασιγνήτοιο	lex31442.1_κασίγνητοςκασιγνήτου	lex31442.1_κασίγνητος
κασιγνήτῳ	lex31442.1_κασίγνητος
κασιγνητικοῦ	lex31449.1_κασιγνητικός
κασιγνήτη	lex31448.1_κασιγνήτη
κασιγνήτοιο	lex31442.1_κασίγνητος
κασιγνήτοισι	lex31442.1_κασίγνητος
κασιγνήτους	lex31442.1_κασίγνητος
κασιγνήτων	lex31442.1_κασίγνητος
κασσίτερον	lex31457.1_κασσίτερος
κασσιτέρου	lex31457.1_κασσίτερος lex31461.1_κασσιτερόωκασίγνητοι	lex31442.1_κασίγνητος
κατ	
κατ'	lex31485.1_κατά
κατa	
κατά	lex31485.1_κατά
κατάβασιν	lex31486.1_κατάβασις
κατάγνωσιν	lex31508.1_κατάγνωσις
κατάλεγε	lex32369.1_καταλέγω
κατάλεξαι	lex32369.1_καταλέγω
κατάληξιν	lex31604.1_κατάληξιςΖηνόδοτον	lex2430.1_Ζηνόδοτος
Ζηνόδοτος	lex2430.1_Ζηνόδοτος
Ζηνόδωρος	lex2431.1_Ζηνόδωρος
Ζηνὸδοτῳ	
Ζηνὸς	lex2415.1_Ζεύς
Ζηνόδ	
Ζηνόδοτ	
Ζηνόδοτον	lex2430.1_Ζηνόδοτος
Ζηνόδοτος	lex2430.1_Ζηνόδοτος
Ζηνόδοτοσ	lex2430.1_Ζηνόδοτοςκατάληξις	lex31604.1_κατάληξις
κατάλληλον	lex31609.1_κατάλληλος
κατάλυμα	lex31612.1_κατάλυμα
κατάξας	lex31741.1_κατάσσω lex31515.1_κατάγω lex31507.1_κατάγνυμι
κατάρα	lex31702.1_κατάρης lex31692.1_κατάρα
κατάρατα	lex31696.1_κατάρατος
κατάρατον	lex31855.1_καταίρω lex31696.1_κατάρατος
κατάρξαντες	lex31722.1_κατάρχω
κατάρτη	lex32913.1_καταρτάω
κατάρχοι	lex31722.1_κατάρχωκατάσκοπ	
κατάσκοποι	lex31733.1_κατάσκοπος
κατάσκοπον	lex31733.1_κατάσκοπος
κατάσπειρε	lex33026.1_κατασπείρω
κατάσσω	lex31741.1_κατάσσω
κατάστασιν	lex31743.1_κατάστασις
κατάστημα	lex31750.1_κατάστημα
κατάσχοι	lex31832.1_κατέχω
κατέδονται	lex33510.1_κατεσθίω lex31818.1_κατέδω
κατέθεντο	lex33156.1_κατατίθημικατέθηκε	lex33156.1_κατατίθημι
κατέθορε	http://data.perseus.org/collections/_κατά-θρῴσκω
κατέκλυσεν	lex32261.1_κατακλύζω
κατέκρινε	lex32313.1_κατακρίνω
κατέκτα	lex32341.1_κατακτείνω
κατέλαβεν	lex32387.1_καταλαμβάνω
κατέλειψε	lex32393.1_καταλείβω
κατέλειψεν	lex32393.1_καταλείβω
κατέλιπ	
κατέλιπε	lex32418.1_καταλιμπάνωκατέλιπεν	lex32418.1_καταλιμπάνω
κατέλιπον	lex32418.1_καταλιμπάνω
κατέμεινεν	lex32471.1_καταμένω
κατέναντα	lex31821.1_κατέναντα
κατένωπα	lex31824.1_κατένωπα
κατέπηξεν	lex32659.1_καταπήγνυμι
κατέπινεν	lex32664.1_καταπίνω
κατέρεξεν	lex32864.1_καταρρέζω
κατέσειον	lex32931.1_κατασείω
κατέστησας	lex29807.1_καθίστημικατέσχε	lex31832.1_κατέχω
κατέσχεν	lex31832.1_κατέχω
κατέφλεξε	lex33261.1_καταφλέγω
κατέφλεξεν	lex33261.1_καταφλέγω
κατέχει	lex31832.1_κατέχω lex33303.1_καταχέω
κατέχειν	lex31832.1_κατέχω
κατέχεται	lex31832.1_κατέχω
κατέχευε	lex33303.1_καταχέω
κατέχομεν	lex31832.1_κατέχω
κατέχονται	lex31832.1_κατέχωκατέψηξεν	lex33370.1_καταψήχω
κατήει	
κατήπειγεν	lex33474.1_κατεπείγω
κατα	
καταΐγδην	lex31851.1_καταίγδην
καταίτυξ	
καταβάλλειν	lex31861.1_καταβάλλω
καταβάλλομαι	lex31861.1_καταβάλλω
καταβάλλοντα	lex31861.1_καταβάλλω
καταβάλλω	lex31861.1_καταβάλλωκαταβάλλων	lex31861.1_καταβάλλω
καταβάσεως	lex31486.1_κατάβασις
καταβέβληκεν	lex31861.1_καταβάλλω
καταβήσεο	lex31869.1_καταβαίνω
καταβαίνειν	lex31869.1_καταβαίνω
καταβαρύναντες	lex31877.1_καταβαρύνω
καταβεβηκώς	lex31869.1_καταβαίνω
καταβιβασμὸν	lex31900.1_καταβιβασμός
καταβιβασμῶ	lex31900.1_καταβιβασμός
καταβολην	καταβὰς	lex31869.1_καταβαίνω
καταβέβηκας	lex31869.1_καταβαίνω
καταβήμεναι	lex31869.1_καταβαίνω lex29772.1_καθάπτω
καταγάζονται	http://data.perseus.org/collections/_κατά-ἀγάζω http://data.perseus.org/collections/_κατά-ἄγαμαι
καταγαζόμεναι	http://data.perseus.org/collections/_κατά-ἀγάζω http://data.perseus.org/collections/_κατά-ἄγαμαι
καταγελῶσι	lex31964.1_καταγελάω
καταγνωσθῆναι	lex31977.1_καταγιγνώσκω
καταγωγοὺς	lex32014.1_καταγωγός
καταγωγάς	lex32011.1_καταγωγή
καταγωνίζεται	lex32015.1_καταγωνίζομαικαταγωνίσασθαι	lex32015.1_καταγωνίζομαι
καταγωνισθῆναι	lex32015.1_καταγωνίζομαι
καταγῆν	http://data.perseus.org/collections/_κατά-ἀγάω
καταδακρυόεσσαν	
καταδαπανῶ	lex32047.1_καταδαπανάω
καταδυσεως	
καταδύεται	lex32104.1_καταδύω
καταδύντες	lex32104.1_καταδύω
καταδύεσθαι	lex32104.1_καταδύω
καταδύμεναι	lex32104.1_καταδύωκαταδύνει	lex32103.1_καταδύνω lex32104.1_καταδύω
καταδύο	
καταδῦναι	lex32103.1_καταδύνω lex32104.1_καταδύω
καταείνυον	lex31848.1_καταέννυμι
καταθύμιον	lex32152.1_καταθυμέω lex32156.1_καταθύμιος
καταθύμιος	lex32156.1_καταθύμιος
καταθῦσαι	lex32157.1_καταθύω
καται	
καταιγίδας	lex32165.1_καταιγίς
καταιγίδες	lex32165.1_καταιγίςΖηνόδοτου	
Ζωΐλος	lex2451.1_Ζωίλος
Ζωϊλος	
Ζωῗλος	
Ζέλεια	lex2373.1_Ζέλεια
Ζέλειαν	lex2373.1_Ζέλεια
Ζῆθος	lex2464.1_Ζῆθος
Ζῆν	lex26673.1_ζάω lex2415.1_Ζεύς lex26684.1_ζέω
Ζῆν'	lex27130.1_ζῆνος lex2415.1_Ζεύς
Ζῆνα	lex2415.1_Ζεύς lex27130.1_ζῆνοςκαταιγὶς	lex32165.1_καταιγίς
καταιγίδων	lex32165.1_καταιγίς
καταισχύνεται	lex32182.1_καταισχύνω
καταισχύνῃ	lex32182.1_καταισχύνω
κατακ	
κατακάμπτειν	lex32192.1_κατακάμπτω
κατακέχρηται	http://data.perseus.org/collections/_κατά-χράω2
κατακαίριον	lex32202.1_κατακαίριος
κατακαῦσαι	lex32203.1_κατακαίω
κατακλείεσθαι	lex32249.1_κατακλείωκατακλείονται	lex32249.1_κατακλείω
κατακλείστους	lex31558.1_κατάκλειστος
κατακλεῖδα	lex32248.1_κατακλείς
κατακλιθῆναι	lex32244.1_κατακλίνω
κατακλυσμενοῖς	
κατακλυσμοῖς	lex32260.1_κατακλυσμός
κατακλυσμὸν	lex32260.1_κατακλυσμός
κατακλῶσιν	lex32243.1_κατακλάω
κατακοιμήσει	lex32272.1_κατακοιμάω lex32271.1_κατακοίμησις
κατακοιμισάσα	lex32273.1_κατακοιμίζωκατακοιμῶνται	lex32272.1_κατακοιμάω
κατακοιρανέουσιν	lex32278.1_κατακοιρανέω
κατακολουθησαντας	
κατακτάς	lex32346.1_κατακτός lex32341.1_κατακτείνω
κατακτάμεναι	lex32340.1_κατακτάομαι lex32341.1_κατακτείνω
κατακυμηθῆναι	
κατακύπτειν	lex32367.1_κατακύπτω
καταλάμπεται	lex32368.1_καταλάμπω
καταλέλοιπε	lex32418.1_καταλιμπάνω
καταλέξαιμι	lex32369.1_καταλέγωκαταλήγοντα	lex32373.1_καταλήγω
καταλήξαντα	lex32373.1_καταλήγω
καταλήξεως	lex31604.1_κατάληξις
καταλίπει	http://data.perseus.org/collections/_κατά-λιπάω
καταλίπω	lex32418.1_καταλιμπάνω
καταλαβεῖν	lex32387.1_καταλαμβάνω
καταλαβοι	
καταλαβόντα	lex32387.1_καταλαμβάνω
καταλαβών	lex32387.1_καταλαμβάνω
καταλαβόντες	lex32387.1_καταλαμβάνωκαταλαβὼν	lex32387.1_καταλαμβάνω
καταλαβών	lex32387.1_καταλαμβάνω
καταλαμβάνει	lex32387.1_καταλαμβάνω
καταλαμβάνεσθαι	lex32387.1_καταλαμβάνω
καταλαμβα	
καταλαμβανει	
καταλαμβανομένην	lex32387.1_καταλαμβάνω
καταλαμβανομενης	
καταλαμβάνονται	lex32387.1_καταλαμβάνω
καταλαμβάνοντι	lex32387.1_καταλαμβάνωκαταλαμπομέναις	lex32368.1_καταλάμπω
καταλείπει	lex32418.1_καταλιμπάνω
καταλείπεται	lex32418.1_καταλιμπάνω
καταλείψας	lex32393.1_καταλείβω
καταλείψῃ	lex32393.1_καταλείβω lex32418.1_καταλιμπάνω lex31599.1_κατάλειψις
καταλελειμμένος	lex32418.1_καταλιμπάνω
καταλελοιπ	
καταλείπει	lex32418.1_καταλιμπάνω
καταλιπεν	
καταλιπεῖν	lex32418.1_καταλιμπάνωκαταλιποῦσα	lex32418.1_καταλιμπάνω
καταλιπῶν	http://data.perseus.org/collections/_κατά-λιπάζω http://data.perseus.org/collections/_κατά-λιπάω
καταλλήλως	lex31609.1_κατάλληλος
καταλλαγῆναι	lex32425.1_καταλλάσσω
καταλληλότερον	lex31609.1_κατάλληλος
καταλοφάδεια	lex32442.1_καταλοφάδεια
καταλόγῳ	lex31610.1_κατάλογος
καταλύσει	lex31614.1_κατάλυσις lex32461.1_καταλύω
καταλάβη	http://data.perseus.org/collections/_κατά-λάπτω
καταλάβοι	lex32387.1_καταλαμβάνωκαταλέγεσθαι	lex32369.1_καταλέγω
καταλέλοιπεν	lex32418.1_καταλιμπάνω
καταλήγει	lex32373.1_καταλήγω
καταλήγοντα	lex32373.1_καταλήγω
καταλίπῃ	lex32418.1_καταλιμπάνω
καταλῆγον	lex32373.1_καταλήγω
καταμαρτυρῆσαι	lex32493.1_καταμαρτυρέω
καταμεμφόμενος	lex32470.1_καταμέμφομαι
καταμάθοι	lex32489.1_καταμανθάνω
κατανειφόμενον	lex32566.1_κατανίφωκατανενευκέναι	lex32586.1_κατανεύω
